binance-coin,bitcoin,ethereum,solana,usd-coin
,,3185.26,,
626.60,,,220.66,
,,3185.28,,
,,3185.27,,
,,,,0.999235
,,3185.26,,
,91098.72,3185.18,,
,91098.75,,,
,91098.63,3185.16,,0.999234
,,3185.19,,
,91098.66,,,
,91099.26,,,
,,3185.20,220.67,
,91099.29,,,
,91101.58,3185.08,,
,,3185.17,,
626.66,91102.99,,,
,,3185.18,220.68,
,91103.00,3185.17,,
626.67,91103.20,3185.23,,0.999261
,,3185.30,,,
,91103.34,3185.35,,,
,91103.33,,,,
,91103.20,,,,
626.69,91103.83,,,0.999659,0.999346
626.68,,,,,
,,,220.62,,
,,3185.43,,,
,,3185.46,,,
,91103.85,,,,
,,3185.47,,,
,,3184.56,
626.45,91103.86,3184.50,0.999455
,91103.94,,
,91103.95,3184.49,
,,3184.46,
,91103.94,3184.44,
,,3184.40,
,91104.02,,
626.43,,,
,,3184.42,
,91103.97,3184.41,
,,,0.999456
,,3184.42,
,,3184.44,
,,3184.38,
,91103.82,,
,91103.27,,
,91103.43,,
,91102.86,,
91102.88,
91102.85,
91102.90,
91102.60,
,3184.73
91102.61,
91101.96,3184.68
91101.92,3184.63
91101.79,
,3184.62
,91101.74,
,91101.72,
,91101.47,
,91101.42,
,91101.34,
626.78,91101.29,
,,3184.61
,91101.36,3184.63
626.79,,3184.64
626.78,91101.37,3184.68
,91101.67,,,
626.79,91101.46,3184.69,0.999713,0.999356
626.80,,,,
,,3184.68,,
,,3184.69,,
,91101.45,3184.88,,
,91101.54,,,
,,3184.96,,
,91102.76,,,
,,3185.01,,0.999357
,91102.71,3185.04,,,
,,3185.07,,,
,91102.98,3185.14,,,
626.84,91106.82,3185.28,220.50,,0.999378
,91106.74,,,,
,,3185.29,,,
,91106.98,,,,
,91107.02,,,,
,91108.27,,,,
,,3185.30,,,
,,3185.25,,,
,,3185.26,,,
,91107.79,,,,
,,3185.29,,,
,91107.75,,,,
,,3185.36,,,
,91107.93,3185.38,,,0.999379
,91108.15,,,,0.999378
,,,,,0.999375
,,3185.36,,,
,91108.11,,220.49,,
626.85,91106.98,3185.69,,,
,,3185.64,,,
627.02,,,,,
,91104.62,,,,
,91104.57,,,,
,91104.56,,,,
,91104.55,,,,
627.03,91104.33,3185.68,,,
,91104.31,3185.67,,,
,,3185.65,,,
627.07,91104.40,3185.68,,0.999728,0.999394
,91104.39,,,,
,91104.37,3185.77,,,
,,,220.36,,
627.06,,,,,
,91104.36,,,,
,,,220.35,,
,91104.33,,,,
,,3185.76,,,
,,,220.34,,
627.07,91105.26,3185.80,,,0.999399
,91105.22,,,,
,91105.21,,,,
,91105.18,3185.81,,,
,,3185.80,,,
,91104.97,,,,0.999400
,,3185.79,,,0.999401
,91104.95,,,,
,91104.94,,,,
,,3185.80,,,
,,3185.82,,,
,91105.08,3185.83,,,
,91105.07,,,,
,91104.50,,,,
,91104.55,,,,
,91104.56,,,0.999729,
,,3185.87,,,0.999400
,91104.55,,,,
,91104.54,,220.33,,
,91104.48,,,,
,91104.35,,,,
,91104.16,3185.88,,,
,91104.14,3185.89,,,
,,,220.34,,
,91104.05,,,0.999728,
,,3185.82,,,
,91104.02,,220.33,,
627.09,,,,,
,91104.49,3185.83,,0.999727,0.999432
,91104.50,3185.85,,,
,,3185.87,220.34,,
,91104.49,,,,
,,3185.88,,,
627.08,,,,,
,91104.50,3185.86,,,
,91104.56,,,,
,91104.57,3185.87,,,
,,3185.79,,,
,91104.59,,,,
,91104.69,3185.80,,,
,,,220.33,,
,91104.11,3185.87,,,0.999431
,91104.01,,,,
,91103.98,,,,
,91103.67,3185.81,,0.999728,
,91100.72,3185.82,,,
626.85,,,,,
,,3185.80,,,
,91100.73,3185.82,,0.999727,
,91100.41,3185.81,,,0.999405
,91100.18,3185.79,,,
,91100.19,,,,
,91100.57,,220.17,,
,,3185.80,,,
,91100.72,,,,
,,3185.81,,,
,91100.90,3185.78,,,
,91100.88,,,,
,91100.12,,,,
,91100.36,3185.82,,,
,,,220.16,,
,,3185.86,,,0.999408
,,,,0.999728,
,91100.41,,,,
,91099.20,,,0.999762,0.999352
,,3185.87,,,
,,3186.59,,,
,91099.21,,,,
,91099.22,,,,
,91099.26,,,,
,,3186.63,,,
,,,220.17,,
626.84,,,,,
626.85,91098.97,3186.61,,,0.999354
626.86,91101.15,3186.69,,,0.999365
,91099.65,,,,
,91099.69,3186.67,,,
,91099.37,,,,
,91100.69,,,,
,91100.35,,,,
,91100.41,,,,
,,3186.60,,,
,91100.70,,,,
,,3186.59,,,
,,3186.61,,,
,,3186.60,,,
,,3186.64,,,
,91100.75,,,,
626.84,,,,,
,91100.81,3186.65,,,
,91100.60,,,,
,91100.59,,,,
,91100.81,,,,
,,3186.80,,,
,91100.60,,,,
,91100.61,,,,
,91100.60,,,,
,91100.58,,,,
,91100.62,,,,
,,,,,0.999366
,91100.63,,,,
